,material_id,full_formula,pretty_formula,LOG ,LOG Prob,DT ,DT Prob,RF ,RF Prob,GB ,GB Prob,MP BG
1,mp-7,S6,S,1.0,0.8631573284193146,1.0,0.8888888888888888,1.0,0.6466998012632189,1.0,0.999970806107727,2.4880999999999998
2,mp-14,Se3,Se,1.0,0.9614548243892453,1.0,1.0,1.0,0.8006345055426786,1.0,0.999970806107727,1.0119000000000002
3,mp-19,Te3,Te,1.0,0.9496742836459032,1.0,1.0,1.0,0.7266062880606171,1.0,0.999970806107727,0.5751999999999997
4,mp-25,N8,N2,1.0,0.9323780120518458,1.0,1.0,0.0,0.4284288901100167,0.0,0.04892191073774187,7.4563999999999995
5,mp-77,S32,S,1.0,0.5530428613834412,0.0,0.0,0.0,0.1739938503042384,0.0,1.3314082895226699e-05,2.7125
7,mp-96,S32,S,1.0,0.5315650083448455,0.0,0.0,0.0,0.1777438503042384,0.0,1.3314082895226699e-05,2.7405
8,mp-111,Ne1,Ne,1.0,0.9585368157529224,1.0,1.0,1.0,0.7139825056497028,1.0,0.999970806107727,11.8025
9,mp-118,P24,P,1.0,0.5664220967838663,0.0,0.0,0.0,0.24063622334837326,0.0,1.3314082895226699e-05,3.7308
10,mp-137,Ge12,Ge,1.0,0.9615871866663935,1.0,1.0,1.0,0.7208385685140776,1.0,0.999970806107727,0.8732000000000002
11,mp-147,Se6,Se,1.0,0.8924214097826435,0.0,0.0,1.0,0.7424920941120837,0.0,0.08392543069938416,1.5760999999999998
12,mp-154,N8,N2,1.0,0.9213800465529208,1.0,1.0,0.0,0.43842889011001673,0.0,0.04892191073774187,7.4649
13,mp-157,P4,P,1.0,0.9538093950636828,1.0,1.0,1.0,0.7767680272406722,1.0,0.999970806107727,0.11509999999999998
14,mp-160,B12,B,1.0,0.8916905852361826,0.0,0.5,1.0,0.7981208751526175,0.0,1.411124751240303e-05,1.5219000000000005
15,mp-181,K3Ga9,KGa3,0.0,0.0870138215316277,0.0,0.03496503496503497,0.0,0.22541922715702106,1.0,0.9999292947298071,0.6231
16,mp-189,Si4Ru4,SiRu,1.0,0.9432562669848896,1.0,1.0,1.0,0.7491733666561945,1.0,0.999970806107727,0.2540999999999993
21,mp-223,Ge3O6,GeO2,0.0,0.15464813118340084,0.0,0.0,0.0,0.16225961517074095,1.0,0.9987862634441038,3.2607
22,mp-226,Fe4S8,FeS2,0.0,0.3967888289863908,1.0,1.0,0.0,0.2950865503773257,0.0,0.006900154543461026,0.45730000000000004
26,mp-241,Cd1F2,CdF2,0.0,0.48051181323803416,1.0,1.0,0.0,0.4329023518326715,0.0,0.006900154543461026,3.0701
28,mp-252,Be1Te1,BeTe,1.0,0.9686709306770047,1.0,1.0,1.0,0.7699320041760386,1.0,0.999970806107727,2.2113000000000005
30,mp-256,La1N1,LaN,1.0,0.7596973502182786,0.0,0.0,1.0,0.5208750199718635,0.0,1.411124751240303e-05,0.11019999999999985
31,mp-267,Te4Ru2,Te2Ru,0.0,0.3682987989310684,1.0,1.0,0.0,0.4163067188092191,1.0,0.8406626326648935,0.3194999999999997
34,mp-286,Yb1Se1,YbSe,1.0,0.8295174060864093,1.0,1.0,1.0,0.6936166111017481,1.0,0.999970806107727,2.0324999999999998
35,mp-288,Pt2S2,PtS,1.0,0.526384596052236,1.0,1.0,0.0,0.4590164520261489,1.0,0.8406626326648935,0.47140000000000004
43,mp-341,Pb1F4,PbF4,0.0,0.11532565646820905,0.0,0.0,0.0,0.2239450248444989,1.0,0.9999655705996782,2.0001
44,mp-343,Pr1N1,PrN,1.0,0.7322987468623515,0.0,0.0,1.0,0.5268167143000494,0.0,1.411124751240303e-05,0.41249999999999964
45,mp-344,B4N4,BN,1.0,0.7882791508268027,1.0,1.0,1.0,0.8334999918101057,1.0,0.999970806107727,3.5021000000000004
47,mp-358,Hg3Te3,HgTe,1.0,0.7663541837858375,0.0,0.0,1.0,0.6186995926494426,0.0,0.01060183018097203,0.4918999999999998
48,mp-361,Cu4O2,Cu2O,1.0,0.6030762603808302,1.0,1.0,1.0,0.5466630459190323,1.0,0.999970806107727,0.5126999999999997
52,mp-382,Th6As8,Th3As4,0.0,0.13551255852749483,1.0,1.0,0.0,0.3321067579688586,1.0,0.8406626326648935,0.28190000000000026
53,mp-383,Rb4Te2,Rb2Te,0.0,0.3923736142482005,1.0,1.0,0.0,0.43950709994981774,1.0,0.8406626326648935,1.3724999999999998
57,mp-402,Cd4P8,CdP2,1.0,0.6764890401638173,1.0,1.0,1.0,0.5322669486152082,0.0,0.006900154543461026,1.529
58,mp-406,Cd1Te1,CdTe,1.0,0.9892854484806395,1.0,1.0,1.0,0.8316066099926382,1.0,0.999970806107727,1.2285
59,mp-408,Mg2Ge1,Mg2Ge,1.0,0.6663239921212127,1.0,1.0,0.0,0.42280729523499,0.0,0.006900154543461026,0.25050000000000017
63,mp-422,Be1S1,BeS,1.0,0.9551126752858333,1.0,1.0,1.0,0.7529402482315529,1.0,0.999970806107727,3.2356
66,mp-441,Rb2Te1,Rb2Te,0.0,0.4002068973320486,1.0,1.0,0.0,0.47756907074785254,1.0,0.8406626326648935,1.8947
67,mp-463,K1F1,KF,1.0,0.6947086068940067,0.0,0.0,0.0,0.3835461974146815,0.0,1.411124751240303e-05,6.0694
72,mp-471,Cd2As4,CdAs2,1.0,0.8233649820068314,0.0,0.0,1.0,0.595640390587193,0.0,0.01060183018097203,0.19320000000000004
75,mp-484,Te6As4,Te3As2,0.0,0.18348209844398275,0.0,0.03496503496503497,0.0,0.19548221972001367,1.0,0.9996320109466692,0.5811000000000002
76,mp-486,Ni2P4,NiP2,1.0,0.6814736438723076,1.0,1.0,1.0,0.5460645354263685,1.0,0.999970806107727,0.5831
81,mp-552,Th6Sb8,Th3Sb4,0.0,0.14464518759917425,1.0,1.0,0.0,0.39052087455402784,1.0,0.8406626326648935,0.17330000000000023
83,mp-563,C6N8,C3N4,1.0,0.5482986572041952,1.0,1.0,1.0,0.6539608456382651,1.0,0.999970806107727,0.9368999999999996
85,mp-602,Te4Mo2,Te2Mo,0.0,0.20890152989218522,0.0,0.03496503496503497,0.0,0.19119650543429942,1.0,0.9996320109466692,1.1197
90,mp-634,Hg3S3,HgS,0.0,0.4940568269902362,1.0,1.0,1.0,0.5194213994278438,1.0,0.8406626326648935,1.7241
94,mp-648,Na2S1,Na2S,0.0,0.4324507241404609,1.0,1.0,0.0,0.33377700134369204,0.0,0.006900154543461026,2.4398
95,mp-665,Sn1Se2,SnSe2,1.0,0.5158002010504,1.0,1.0,1.0,0.5601448453557073,1.0,0.8406626326648935,0.8000000000000003
98,mp-682,Na1F1,NaF,1.0,0.7706225659480574,1.0,0.8888888888888888,1.0,0.5366994560612891,1.0,0.999970806107727,6.0951
101,mp-691,Sn4Se4,SnSe,1.0,0.6511799106795535,0.0,0.0,1.0,0.502319867508563,0.0,0.01060183018097203,1.3338
103,mp-700,Ge4Se4,GeSe,1.0,0.7291447311935262,0.0,0.0,1.0,0.5193970875857831,0.0,0.01060183018097203,0.8969
104,mp-706,Hg2F2,HgF,0.0,0.34735361940604903,1.0,1.0,0.0,0.40946231824268176,1.0,0.8406626326648935,1.9778000000000002
105,mp-713,K8As8,KAs,0.0,0.09453593002857877,0.0,0.03496503496503497,0.0,0.2063347329475269,1.0,0.999876957156108,1.1256
106,mp-717,B4O6,B2O3,0.0,0.21494161423721914,0.0,0.0,1.0,0.5100941374559901,0.0,1.4111247512403006e-05,8.3669
107,mp-720,Tl4F4,TlF,0.0,0.08865108106276678,0.0,0.03496503496503497,0.0,0.19976793400572798,1.0,0.999876957156108,3.2634999999999996
109,mp-730,P8Pt4,P2Pt,0.0,0.4038718293420743,1.0,1.0,0.0,0.45046704491152434,1.0,0.8406626326648935,1.1258
110,mp-733,Ge3O6,GeO2,0.0,0.16922028626155508,0.0,0.0,0.0,0.24541879821536486,1.0,0.9999655705996782,3.2645999999999997
116,mp-762,Pt1S2,PtS2,0.0,0.08675658761098516,0.0,0.03496503496503497,0.0,0.22407230688251464,1.0,0.9999253609008417,1.4440000000000004
117,mp-766,As4Ru2,As2Ru,1.0,0.6693887803708991,0.0,0.0,0.0,0.48150749208512367,0.0,0.01060183018097203,0.5614999999999997
119,mp-820,Hg1Se1,HgSe,1.0,0.9735593923813644,1.0,1.0,1.0,0.7604021005450118,1.0,0.999970806107727,0.12360000000000004
127,mp-871,Fe4Si4,FeSi,1.0,0.9702739551493224,1.0,1.0,1.0,0.7268155589547663,1.0,0.999970806107727,0.16639999999999944
129,mp-883,Ho1N1,HoN,1.0,0.698329628953208,0.0,0.0,1.0,0.5124222729915092,0.0,1.411124751240303e-05,0.24009999999999954
133,mp-913,Cd8P16,CdP2,1.0,0.6456963404971816,1.0,1.0,1.0,0.5066321392654519,0.0,0.006900154543461026,1.5931000000000002
135,mp-927,Cu4P8,CuP2,0.0,0.44387734704287474,1.0,1.0,0.0,0.3089943786418882,0.0,0.006900154543461026,0.9645000000000001
136,mp-938,Ge1Te1,GeTe,1.0,0.9275127060057508,1.0,1.0,1.0,0.7261468286011578,1.0,0.999970806107727,0.8215000000000003
137,mp-947,Au4S2,Au2S,1.0,0.5571982025000158,1.0,1.0,1.0,0.5293343753408197,1.0,0.8406626326648935,1.9091
142,mp-978,Sr8Sn4,Sr2Sn,0.0,0.23082318606452265,1.0,1.0,0.0,0.33452106995088776,1.0,0.8406626326648935,0.15280000000000005
144,mp-988,Si6N8,Si3N4,1.0,0.5309512558315878,0.0,0.0,0.0,0.2506839312852541,0.0,1.411124751240303e-05,4.2577
145,mp-1000,Ba1Te1,BaTe,1.0,0.8605779282760863,1.0,1.0,1.0,0.6936166111017481,1.0,0.999970806107727,1.8555
146,mp-1022,K2S1,K2S,0.0,0.3217506165092409,1.0,1.0,0.0,0.3166390743398185,1.0,0.8406626326648935,2.3209999999999997
148,mp-1039,Mg2Te2,MgTe,1.0,0.9695062710210279,1.0,1.0,1.0,0.899577465190158,1.0,0.999970806107727,2.3619999999999997
152,mp-1070,Cd2Se2,CdSe,1.0,0.9780064886782093,1.0,1.0,1.0,0.8966836071968372,1.0,0.999970806107727,0.5589
154,mp-1087,Sr1S1,SrS,1.0,0.8027711049314259,0.0,0.0,1.0,0.5677704991900887,0.0,0.01060183018097203,2.5618999999999996
156,mp-1102,Lu1N1,LuN,1.0,0.7723716761147708,0.0,0.0,1.0,0.5263869109901042,0.0,1.411124751240303e-05,0.3793000000000002
159,mp-1115,Pt1Se2,PtSe2,0.0,0.16151358111106487,0.0,0.03496503496503497,0.0,0.19776330437609832,1.0,0.9996320109466692,0.6743000000000001
161,mp-1138,Li1F1,LiF,1.0,0.7120728910237306,1.0,1.0,1.0,0.5426981544505529,1.0,0.999970806107727,8.7195
164,mp-1153,Li2S1,Li2S,0.0,0.4982529697548477,1.0,1.0,0.0,0.36674252154988735,1.0,0.999970806107727,3.5385
166,mp-1156,Ga1Sb1,GaSb,1.0,0.9870467740944137,1.0,1.0,1.0,0.7582685291195412,1.0,0.999970806107727,0.36549999999999994
168,mp-1170,Sn1S2,SnS2,0.0,0.1890562007410178,0.0,0.0,0.0,0.2686980508135423,1.0,0.998774702953851,1.5615
170,mp-1186,Zr1S2,ZrS2,0.0,0.10981787561513628,0.0,0.03496503496503497,0.0,0.24908222033131755,1.0,0.9999655705996782,1.0418
172,mp-1201,Sb2Te3,Sb2Te3,1.0,0.5822113441701546,0.0,0.0,0.0,0.48053385893585493,0.0,0.01060183018097203,0.16110000000000024
173,mp-1216,Yb1O1,YbO,1.0,0.643465475366651,0.0,0.0,1.0,0.5095636282877611,0.0,1.411124751240303e-05,3.5311000000000003
174,mp-1217,K32Si32,KSi,0.0,0.10106217627592214,0.0,0.03496503496503497,0.0,0.2404905399652214,1.0,0.9999655705996782,1.2619000000000002
175,mp-1222,Cr3Si6,CrSi2,1.0,0.9069323974594695,1.0,0.8888888888888888,1.0,0.6555723721601168,1.0,0.999970806107727,0.3863000000000003
176,mp-1224,Hg4O4,HgO,0.0,0.3548097446704891,1.0,1.0,0.0,0.36491965960662676,1.0,0.8406626326648935,1.2481999999999998
177,mp-1239,Sb12Ir4,Sb3Ir,0.0,0.25309926241478775,1.0,1.0,0.0,0.3615193016042918,1.0,0.8406626326648935,0.5268999999999995
180,mp-1247,Sb8Ir4,Sb2Ir,0.0,0.4264012732294329,1.0,1.0,0.0,0.4370300389673219,1.0,0.8406626326648935,0.4498999999999995
181,mp-1249,Mg2F4,MgF2,0.0,0.12350163194165943,0.0,0.0,0.0,0.1148534718322817,1.0,0.9970783798552747,6.832
182,mp-1253,Ba1Se1,BaSe,1.0,0.7902975694038665,1.0,1.0,1.0,0.6912832777684149,1.0,0.999970806107727,2.2121000000000004
183,mp-1265,Mg1O1,MgO,1.0,0.843550438964639,1.0,0.8888888888888888,1.0,0.706842309534193,1.0,0.999970806107727,4.638
184,mp-1266,Na2Se1,Na2Se,0.0,0.3822509259456682,1.0,1.0,0.0,0.36696202846426007,1.0,0.8406626326648935,2.2807999999999997
187,mp-1273,Cs32Ge32,CsGe,0.0,0.04430662526454589,0.0,0.03496503496503497,0.0,0.2063347329475269,1.0,0.9996879972879715,1.3382999999999998
189,mp-1287,K6S6,KS,0.0,0.07478957472813645,0.0,0.03496503496503497,0.0,0.25041094324615104,1.0,0.9999292947298071,1.6663000000000001
191,mp-1315,Mg1S1,MgS,1.0,0.9153536923148368,1.0,1.0,1.0,0.736554387170049,1.0,0.999970806107727,2.9642
192,mp-1317,Co4Sb12,CoSb3,0.0,0.3717049630329071,1.0,1.0,0.0,0.4163067188092191,1.0,0.8406626326648935,0.5821000000000005
194,mp-1340,Ga4Se6,Ga2Se3,1.0,0.5825925710463281,1.0,1.0,1.0,0.6970169430565899,1.0,0.999970806107727,1.6844000000000001
195,mp-1342,Ba1O1,BaO,1.0,0.6104657975862803,0.0,0.0,0.0,0.48141228535948216,0.0,0.01060183018097203,2.2561
197,mp-1346,B12O2,B6O,1.0,0.5904238338620801,1.0,1.0,1.0,0.6710384712090413,1.0,0.999970806107727,2.2093
199,mp-1367,Mg2Si1,Mg2Si,1.0,0.6927505554848751,1.0,1.0,1.0,0.5435206580358652,1.0,0.999970806107727,0.29349999999999987
201,mp-1378,Li2C2,LiC,0.0,0.23811060710242596,0.0,0.0,0.0,0.22357729547249913,1.0,0.9993078543654069,3.4501999999999997
202,mp-1379,Sn2S2,SnS,1.0,0.6853458229551568,0.0,0.0,1.0,0.5128604080491035,0.0,0.01060183018097203,1.2008
203,mp-1392,Zn8P16,ZnP2,1.0,0.5677587505437255,1.0,1.0,0.0,0.49832761933110953,0.0,0.006900154543461026,0.7480000000000002
207,mp-1410,Dy1N1,DyN,1.0,0.6505464586739044,0.0,0.0,0.0,0.4703054329032812,0.0,1.411124751240303e-05,0.21149999999999958
208,mp-1413,P4Ru2,P2Ru,1.0,0.6546026542941444,1.0,1.0,0.0,0.45967183975503917,0.0,0.006900154543461026,0.5157000000000007
209,mp-1415,Ca1Se1,CaSe,1.0,0.832488160180457,0.0,0.0,1.0,0.6377969344169852,0.0,0.01060183018097203,2.1362
215,mp-1468,P32S24,P4S3,0.0,0.170000491808254,0.0,0.0,0.0,0.1341498005882994,1.0,0.999169219012385,2.8693
218,mp-1479,B1P1,BP,1.0,0.9850628335946805,1.0,1.0,1.0,0.7284231851952133,1.0,0.999970806107727,1.4661999999999997
219,mp-1500,Ba1S1,BaS,1.0,0.7694535153227328,0.0,0.0,1.0,0.5541174194645951,0.0,0.01060183018097203,2.2091000000000003
221,mp-1509,Sn8S12,Sn2S3,0.0,0.10873525150014937,0.0,0.03496503496503497,0.0,0.263415357613525,1.0,0.999940685341931,0.8572000000000006
222,mp-1519,Ca1Te1,CaTe,1.0,0.8749026428305254,1.0,1.0,1.0,0.6936166111017481,1.0,0.999970806107727,1.6040999999999999
224,mp-1536,K8Sb8,KSb,0.0,0.06640701194254764,0.0,0.03496503496503497,0.0,0.20405364829144226,1.0,0.9996879972879715,0.8799999999999999
225,mp-1541,Be1Se1,BeSe,1.0,0.9594280530414151,1.0,1.0,1.0,0.733979462464327,1.0,0.999970806107727,2.8976
226,mp-1554,K6Te6,KTe,0.0,0.10938959474153931,0.0,0.03496503496503497,0.0,0.19776330437609832,1.0,0.9990672321889559,0.21319999999999983
230,mp-1569,Be2C1,Be2C,1.0,0.7047296264667234,1.0,1.0,1.0,0.8548456060057371,1.0,0.999970806107727,1.4432999999999998
231,mp-1572,Ga4Se4,GaSe,1.0,0.544569443349879,1.0,1.0,1.0,0.6870169430565899,1.0,0.999970806107727,1.2567000000000002
239,mp-1599,B4N4,BN,0.0,0.11466157301994767,1.0,1.0,1.0,0.6998461892221698,1.0,0.999970806107727,1.6009000000000002
241,mp-1634,Mo2Se4,MoSe2,0.0,0.12877509301805753,0.0,0.0,0.0,0.21182563295290371,1.0,0.9994616501276015,1.4176000000000002
242,mp-1639,B1N1,BN,1.0,0.993602236708794,1.0,1.0,1.0,0.9948110139938465,1.0,0.999970806107727,4.6482
244,mp-1672,Ca1S1,CaS,1.0,0.8651870829139231,0.0,0.0,1.0,0.5746695658062593,0.0,1.411124751240303e-05,2.5596
245,mp-1683,Zr2Se6,ZrSe3,0.0,0.04942315808844425,0.0,0.03496503496503497,0.0,0.15587626313311195,1.0,0.9999099535138047,0.5570000000000004
248,mp-1714,Fe8Si16,FeSi2,1.0,0.6757318279202669,1.0,1.0,1.0,0.534843905211173,1.0,0.999970806107727,0.6975999999999996
255,mp-1747,K2Te1,K2Te,0.0,0.42504344726323334,1.0,1.0,0.0,0.4689327071114889,1.0,0.8406626326648935,2.1399
260,mp-1778,Be1O1,BeO,1.0,0.9478866870285855,1.0,0.8888888888888888,1.0,0.9417579953114766,1.0,0.999970806107727,6.9752
261,mp-1779,Yb1Te1,YbTe,1.0,0.9052100860409837,1.0,1.0,1.0,0.6936166111017481,1.0,0.999970806107727,1.5272999999999999
262,mp-1784,Cs1F1,CsF,0.0,0.423361901115383,1.0,1.0,0.0,0.44672700866429155,1.0,0.8406626326648935,5.281
264,mp-1794,Be1O1,BeO,1.0,0.9364700614150997,1.0,0.8888888888888888,1.0,0.934219533773015,1.0,0.999970806107727,8.2675
265,mp-1806,Rb4O12,RbO3,0.0,0.014686550721193795,1.0,1.0,0.0,0.04498414382976408,0.0,1.4111247512403006e-05,0.8986
268,mp-1820,Yb1S1,YbS,1.0,0.8041030673173266,0.0,0.0,1.0,0.6104295689772059,0.0,0.01060183018097203,2.444
269,mp-1836,Tl4Se4,TlSe,0.0,0.22925084248733507,1.0,1.0,0.0,0.3208089487387666,1.0,0.8406626326648935,0.35809999999999986
271,mp-1848,Te8Ru4,Te2Ru,0.0,0.34787816872694316,1.0,1.0,0.0,0.4383936753309583,1.0,0.8406626326648935,0.14100000000000001
279,mp-1876,Sn1S1,SnS,1.0,0.9189567052087289,1.0,1.0,1.0,0.7172696908272417,1.0,0.999970806107727,0.9549000000000003
281,mp-1883,Sn1Te1,SnTe,1.0,0.9587674927088635,1.0,1.0,1.0,0.6936166111017481,1.0,0.999970806107727,0.6623999999999999
282,mp-1888,Rb32Ge32,RbGe,0.0,0.08813960605955941,0.0,0.03496503496503497,0.0,0.20109663770943167,1.0,0.9990672321889559,1.0150000000000001
283,mp-1922,Ru4Se8,RuSe2,0.0,0.31432586949437363,1.0,1.0,0.0,0.3449692748410716,1.0,0.8406626326648935,0.47909999999999986
284,mp-1933,Cu3N1,Cu3N,0.0,0.497240389459014,1.0,1.0,0.0,0.3310408253994783,1.0,0.999970806107727,0.9820000000000002
286,mp-1943,Ga4Se4,GaSe,1.0,0.6493861583122791,1.0,1.0,1.0,0.7156533066929535,1.0,0.999970806107727,1.2476999999999998
289,mp-1958,Sr1Te1,SrTe,1.0,0.8878114406124238,1.0,1.0,1.0,0.6936166111017481,1.0,0.999970806107727,2.0435000000000003
292,mp-1975,Tm1N1,TmN,1.0,0.7267784664291433,0.0,0.0,1.0,0.5123477404729018,0.0,1.411124751240303e-05,0.30600000000000005
293,mp-1985,C6N8,C3N4,1.0,0.688474185418435,1.0,1.0,1.0,0.5193162489868189,1.0,0.999970806107727,3.341000000000001
294,mp-1990,Mg24As16,Mg3As2,0.0,0.44709797168189636,1.0,1.0,0.0,0.41105415632186443,1.0,0.8406626326648935,1.431
296,mp-2008,Fe2As4,FeAs2,1.0,0.5909540977811225,1.0,1.0,0.0,0.4460822183794783,0.0,0.006900154543461026,0.28550000000000075
297,mp-2030,Ru4S8,RuS2,0.0,0.4936276827342801,1.0,1.0,0.0,0.43129493128884017,0.0,0.006900154543461026,0.682199999999999
299,mp-2064,Rb1F1,RbF,1.0,0.6223839517320658,1.0,1.0,0.0,0.39993508630357033,0.0,0.006900154543461026,6.2488
301,mp-2071,Zn24P16,Zn3P2,1.0,0.5714061615466176,1.0,1.0,0.0,0.47271079300487073,0.0,0.006900154543461026,0.6051000000000002
303,mp-2074,Li3Sb1,Li3Sb,1.0,0.9006560917971602,0.0,0.0,1.0,0.6021560956668663,0.0,1.411124751240303e-05,0.8066999999999998
305,mp-2076,Zr1Se2,ZrSe2,0.0,0.3302087943873544,1.0,1.0,0.0,0.34280479665557356,1.0,0.8406626326648935,0.34299999999999997
308,mp-2095,Rb8Te12,Rb2Te3,0.0,0.06308788041443328,0.0,0.03496503496503497,0.0,0.19548221972001367,1.0,0.9990672321889559,0.7366999999999999
309,mp-2097,Sn2O2,SnO,1.0,0.6538157721841629,1.0,1.0,0.0,0.48134715664123434,0.0,0.006900154543461026,0.6296999999999997
310,mp-2114,Y1N1,YN,1.0,0.7346870503579704,0.0,0.0,1.0,0.5968847999772511,1.0,0.999970806107727,0.28580000000000005
311,mp-2117,Tb1N1,TbN,1.0,0.6358610903242317,0.0,0.0,0.0,0.46630543290328114,0.0,1.411124751240303e-05,0.1862999999999997
316,mp-2142,Te8Os4,Te2Os,0.0,0.3018800704591664,1.0,1.0,0.0,0.44839367533095825,1.0,0.8406626326648935,0.5230999999999995
317,mp-2146,K32Ge32,KGe,0.0,0.0921159619541132,0.0,0.03496503496503497,0.0,0.20966806628086027,1.0,0.999876957156108,0.9106
318,mp-2150,Ba2Te4,BaTe2,0.0,0.2846852185100415,1.0,1.0,0.0,0.4308707363134541,1.0,0.8406626326648935,0.3984999999999994
320,mp-2168,Sn2Se2,SnSe,1.0,0.6757262587795816,0.0,0.0,0.0,0.4902777080579259,0.0,0.01060183018097203,0.6097999999999999
323,mp-2201,Pb1Se1,PbSe,1.0,0.9037025030397372,1.0,1.0,1.0,0.6936166111017481,1.0,0.999970806107727,0.9081000000000001
324,mp-2231,Sn4S4,SnS,1.0,0.6709838517197295,1.0,1.0,1.0,0.5028604080491035,0.0,0.01060183018097203,1.1111000000000004
327,mp-2242,Ge4S4,GeS,1.0,0.8138443517478721,0.0,0.0,1.0,0.5623274257920212,0.0,1.411124751240303e-05,1.237
329,mp-2247,Ag2N6,AgN3,0.0,0.14553046430892336,0.0,0.0,0.0,0.15301649639247497,1.0,0.9999584631608522,1.7489999999999999
330,mp-2251,Li3N1,Li3N,0.0,0.19845953571379624,0.0,0.0,0.0,0.21667430262195686,1.0,0.9999655705996782,0.9986000000000002
333,mp-2278,Hg1O2,HgO2,0.0,0.22190069845465316,0.0,0.03496503496503497,0.0,0.22688735090808262,1.0,0.9998136142263824,0.19609999999999994
337,mp-2310,Cd4O8,CdO2,0.0,0.43074026703738943,0.0,0.0,0.0,0.25752698609270686,1.0,0.9998136142263824,1.2812000000000001
338,mp-2319,P4Os2,P2Os,1.0,0.5266452059415196,1.0,1.0,0.0,0.4418902991875591,0.0,0.006900154543461026,0.8560999999999996
339,mp-2340,Na6O6,Na2O2,0.0,0.09423080819636825,0.0,0.0,0.0,0.08627345135269207,1.0,0.9970783798552747,1.7724000000000002
343,mp-2371,Ga2Te5,Ga2Te5,0.0,0.3338373327533964,1.0,1.0,0.0,0.3611741613347673,1.0,0.8406626326648935,1.0182000000000002
345,mp-2395,Sb12Rh4,Sb3Rh,0.0,0.46802342398522134,1.0,1.0,0.0,0.42950709994981773,1.0,0.8406626326648935,0.2250999999999994
348,mp-2412,Li4P20,LiP5,0.0,0.20250053057093223,0.0,0.0,0.0,0.2065993046249469,1.0,0.9999711173415113,1.2083000000000004
354,mp-2455,As4Os2,As2Os,1.0,0.5772103119492912,1.0,1.0,0.0,0.49141228535948217,1.0,0.8406626326648935,0.7559999999999993
357,mp-2472,Sr1O1,SrO,1.0,0.6743746057985048,0.0,0.0,0.0,0.4696677461832325,0.0,1.411124751240303e-05,3.4486999999999997
358,mp-2480,Os4Se8,OsSe2,0.0,0.263210878847045,1.0,1.0,0.0,0.33669498299436595,1.0,0.8406626326648935,0.5819999999999999
359,mp-2482,Ca1C2,CaC2,0.0,0.39439786681518446,0.0,0.0,0.0,0.20381715976481402,1.0,0.9998136142263824,1.5112
360,mp-2488,Si4Os4,SiOs,1.0,0.8807400265246889,1.0,1.0,1.0,0.6846440681829674,1.0,0.999970806107727,0.6209000000000007
361,mp-2507,Ga4S4,GaS,1.0,0.5173164482199524,1.0,1.0,0.0,0.4419209038193754,1.0,0.9783119629225481,2.0109000000000004
363,mp-2513,As8Pt4,As2Pt,0.0,0.3117291661748872,1.0,1.0,0.0,0.42848063185269747,1.0,0.8406626326648935,0.28500000000000014
364,mp-2514,Mg24P16,Mg3P2,0.0,0.49198840788343645,1.0,1.0,0.0,0.3346387730362826,0.0,0.006900154543461026,1.6067999999999998
366,mp-2530,Li2Te1,Li2Te,0.0,0.4328734817770459,1.0,1.0,0.0,0.38229840662028436,1.0,0.8406626326648935,2.5171000000000006
367,mp-2542,Be2O2,BeO,1.0,0.9663910706211408,1.0,0.8888888888888888,1.0,0.8840555520357328,1.0,0.999970806107727,7.463099999999999
373,mp-2599,Nd1N1,NdN,1.0,0.7139181844361763,0.0,0.0,1.0,0.5217007327206532,0.0,1.411124751240303e-05,0.43039999999999967
374,mp-2600,Ba1Te1,BaTe,1.0,0.8917782942552548,1.0,1.0,1.0,0.7024937488756642,1.0,0.999970806107727,1.7263000000000002
375,mp-2604,Mg4Te8,MgTe2,0.0,0.45932660889160515,1.0,1.0,0.0,0.452066597031093,1.0,0.8406626326648935,1.5091999999999999
376,mp-2605,Ca1O1,CaO,1.0,0.6658122139084819,1.0,1.0,1.0,0.559028630155169,1.0,0.999970806107727,3.6919
377,mp-2612,Ge1Te1,GeTe,1.0,0.9411939011861051,1.0,1.0,1.0,0.7172696908272417,1.0,0.999970806107727,0.6197999999999997
378,mp-2624,Al1Sb1,AlSb,1.0,0.9821638568970747,1.0,1.0,1.0,0.6929438627122586,1.0,0.999970806107727,1.2605000000000004
386,mp-2653,B2N2,BN,1.0,0.9911205913707052,1.0,1.0,1.0,0.9948110139938465,1.0,0.999970806107727,5.363
389,mp-2667,Cs1Au1,CsAu,1.0,0.8630946790686403,1.0,1.0,1.0,0.6899342517943888,1.0,0.999970806107727,1.9857
391,mp-2691,Cd1Se1,CdSe,1.0,0.9812606805709754,1.0,1.0,1.0,0.871113317618375,1.0,0.999970806107727,0.5095
392,mp-2693,Sn1Se1,SnSe,1.0,0.9393439314650549,1.0,1.0,1.0,0.7036166111017481,1.0,0.999970806107727,0.8203000000000005
393,mp-2695,Sb4Os2,Sb2Os,0.0,0.421893393237551,1.0,1.0,0.0,0.4383936753309583,1.0,0.8406626326648935,0.40390000000000015
395,mp-2706,Sn1F4,SnF4,0.0,0.14081735106485455,0.0,0.0,0.0,0.2497908889949056,1.0,0.9999655705996782,3.2016
396,mp-2715,Co4As8,CoAs2,0.0,0.49855604067352227,1.0,1.0,0.0,0.41245441781746706,0.0,0.006900154543461026,0.17100000000000026
